eta, Total_load
   0.000000,    0.000000
   0.020408,    0.000000
   0.040816,    0.000000
   0.061224,    0.000000
   0.081633,    0.000000
   0.102041,    0.000000
   0.122449,    0.000000
   0.142857,    0.000000
   0.163265,    0.000000
   0.183673,    0.000000
   0.204082,    0.000000
   0.224490,    0.000000
   0.244898,    0.000000
   0.265306,    0.000000
   0.285714,    0.000000
   0.306122,    0.000000
   0.326531,    0.000000
   0.346939,    0.000000
   0.367347,    0.000000
   0.387755,    0.000000
   0.408163,    0.000000
   0.428571,    0.000000
   0.448980,    0.000000
   0.469388,    0.000000
   0.489796,    0.000000
   0.510204,    0.000000
   0.530612,    0.000000
   0.551020,    0.000000
   0.571429,    0.000000
   0.591837,    0.000000
   0.612245,    0.000000
   0.632653,    0.000000
   0.653061,    0.000000
   0.673469,    0.000000
   0.693878,    0.000000
   0.714286,    0.000000
   0.734694,    0.000000
   0.755102,    0.000000
   0.775510,    0.000000
   0.795918,    0.000000
   0.816327,    0.000000
   0.836735,    0.000000
   0.857143,    0.000000
   0.877551,    0.000000
   0.897959,    0.000000
   0.918367,    0.000000
   0.938776,    0.000000
   0.959184,    0.000000
   0.979592,    0.000000
   1.000000,    0.000000
