alpha_b, d epsilon / d alpha
  -4.000000,    0.000000
  -3.794872,    0.000000
  -3.589744,    0.000000
  -3.384615,    0.000000
  -3.179487,    0.000000
  -2.974359,    0.000000
  -2.769231,    0.000000
  -2.564103,    0.000000
  -2.358974,    0.000000
  -2.153846,    0.000000
  -1.948718,    0.000000
  -1.743590,    0.000000
  -1.538462,    0.000000
  -1.333333,    0.000000
  -1.128205,    0.000000
  -0.923077,    0.000000
  -0.717949,    0.000000
  -0.512821,    0.000000
  -0.307692,    0.000000
  -0.102564,    0.000000
   0.102564,    0.000000
   0.307692,    0.000000
   0.512821,    0.000000
   0.717949,    0.000000
   0.923077,    0.000000
   1.128205,    0.000000
   1.333333,    0.000000
   1.538462,    0.000000
   1.743590,    0.000000
   1.948718,    0.000000
   2.153846,    0.000000
   2.358974,    0.000000
   2.564103,    0.000000
   2.769231,    0.000000
   2.974359,    0.000000
   3.179487,    0.000000
   3.384615,    0.000000
   3.589744,    0.000000
   3.794872,    0.000000
   4.000000,    0.000000
